wazuh.indexer-1  | [2026-05-05T12:29:42,032][INFO ][o.o.c.m.MetadataCreateIndexService] [wazuh.indexer] [.kibana_1] creating index, cause [api], templates [], shards [1]/[1]
wazuh.indexer-1  | [2026-05-05T12:29:42,033][INFO ][o.o.c.r.a.AllocationService] [wazuh.indexer] updating number_of_replicas to [0] for indices [.kibana_1]
wazuh.indexer-1  | [2026-05-05T12:29:42,093][INFO ][o.o.p.PluginsService     ] [wazuh.indexer] PluginService:onIndexModule index:[.kibana_1/ASMOtOGzTU-z1QWtV5Lczg]
wazuh.indexer-1  | [2026-05-05T12:29:42,185][INFO ][o.o.c.r.a.AllocationService] [wazuh.indexer] Cluster health status changed from [YELLOW] to [GREEN] (reason: [shards started [[.kibana_1][0]]]).
wazuh.indexer-1  | [2026-05-05T12:29:43,201][INFO ][o.o.p.PluginsService     ] [wazuh.indexer] PluginService:onIndexModule index:[kgu5K9olRIaSlNZwerNldg/OthS4gOXR9CPO8aYn99Q_w]
wazuh.indexer-1  | [2026-05-05T12:29:43,234][INFO ][o.o.c.m.MetadataIndexTemplateService] [wazuh.indexer] adding template [wazuh-statistics] for index patterns [wazuh-statistics-*]
wazuh.indexer-1  | [2026-05-05T12:29:45,296][INFO ][o.o.p.PluginsService     ] [wazuh.indexer] PluginService:onIndexModule index:[.plugins-ml-config/PMSKOZEhT3ySRYb8kOx5MA]
wazuh.indexer-1  | [2026-05-05T12:29:45,523][INFO ][o.o.c.m.MetadataCreateIndexService] [wazuh.indexer] [.plugins-ml-config] creating index, cause [api], templates [], shards [1]/[1]
wazuh.indexer-1  | [2026-05-05T12:29:45,542][INFO ][o.o.c.r.a.AllocationService] [wazuh.indexer] updating number_of_replicas to [0] for indices [.plugins-ml-config]
wazuh.indexer-1  | [2026-05-05T12:29:46,807][WARN ][o.o.m.j.JvmGcMonitorService] [wazuh.indexer] [gc][young][24][17] duration [1.1s], collections [1]/[1.1s], total [1.1s]/[2.6s], memory [170mb]->[113.5mb]/[1gb], all_pools {[young] [59mb]->[1mb]/[0b]}{[old] [102mb]->[110.5mb]/[1gb]}{[survivor] [9mb]->[3mb]/[0b]}
wazuh.indexer-1  | [2026-05-05T12:29:46,883][WARN ][o.o.m.j.JvmGcMonitorService] [wazuh.indexer] [gc][24] overhead, spent [1.1s] collecting in the last [1.1s]
wazuh.indexer-1  | [2026-05-05T12:29:47,261][INFO ][o.o.p.PluginsService     ] [wazuh.indexer] PluginService:onIndexModule index:[.plugins-ml-config/PMSKOZEhT3ySRYb8kOx5MA]
wazuh.indexer-1  | [2026-05-05T12:29:47,668][INFO ][o.o.p.PluginsService     ] [wazuh.indexer] PluginService:onIndexModule index:[Dn3jWMNyRYCVhvT43tMJzg/w45iM-zmRB2WC0fxVpNQEQ]
wazuh.indexer-1  | [2026-05-05T12:29:47,762][INFO ][o.o.c.m.MetadataIndexTemplateService] [wazuh.indexer] adding template [wazuh-agent] for index patterns [wazuh-monitoring-*]
wazuh.indexer-1  | [2026-05-05T12:29:48,165][INFO ][o.o.c.r.a.AllocationService] [wazuh.indexer] Cluster health status changed from [YELLOW] to [GREEN] (reason: [shards started [[.plugins-ml-config][0]]]).
